company,lan_speed,RANK,speedMean,variable,value
S.agency,X4M,11,6.993333,D,3.44
C.dealer,X10M,8,4.6,E,2
S.dealer,X10M,9,4.633333,E,2
I.dealer,X10M,3,2.412667,E,3.6
I.agency,X10M,4,2.456667,E,3.86
G.dealer,X45M,10,5.333333,E,8
M.dealer,X4M,6,2.866667,E,2
M.agency,X10M,5,2.666667,E,2
B.dealer,X10M,13,9.851333,E,27.22
R.dealer,X10M,1,2.049778,E,7.463333
R.agency,X4M,7,3.725333,E,15.3
B.agency,X8M,2,2.401333,E,2.5
S.agency,X4M,11,6.993333,E,54.13
C.dealer,X10M,8,4.6,F,13
S.dealer,X10M,9,4.633333,F,12
I.dealer,X10M,3,2.412667,F,3
I.agency,X10M,4,2.456667,F,2.58
G.dealer,X45M,10,5.333333,F,9
G.agency,X8M,12,8.071429,F,12
M.dealer,X4M,6,2.866667,F,7
M.agency,X10M,5,2.666667,F,8
B.dealer,X10M,13,9.851333,F,14.11
R.dealer,X10M,1,2.049778,F,1.556667
R.agency,X4M,7,3.725333,F,4.12
B.agency,X8M,2,2.401333,F,4.28
S.agency,X4M,11,6.993333,F,5.59
C.dealer,X10M,8,4.6,G,5
S.dealer,X10M,9,4.633333,G,3
I.dealer,X10M,3,2.412667,G,1.8
I.agency,X10M,4,2.456667,G,1.82
G.dealer,X45M,10,5.333333,G,5
G.agency,X8M,12,8.071429,G,5
M.dealer,X4M,6,2.866667,G,3
M.agency,X10M,5,2.666667,G,2
B.dealer,X10M,13,9.851333,G,8.36
R.dealer,X10M,1,2.049778,G,1.77
R.agency,X4M,7,3.725333,G,3.56
B.agency,X8M,2,2.401333,G,2.4
S.agency,X4M,11,6.993333,G,5.18
C.dealer,X10M,8,4.6,H,1
S.dealer,X10M,9,4.633333,H,1
I.dealer,X10M,3,2.412667,H,2.2
I.agency,X10M,4,2.456667,H,1.92
G.dealer,X45M,10,5.333333,H,3
G.agency,X8M,12,8.071429,H,5
M.dealer,X4M,6,2.866667,H,2
M.agency,X10M,5,2.666667,H,2
B.dealer,X10M,13,9.851333,H,1.02
R.dealer,X10M,1,2.049778,H,2.64
R.agency,X4M,7,3.725333,H,3.87
B.agency,X8M,2,2.401333,H,2.53
S.agency,X4M,11,6.993333,H,2.09
C.dealer,X10M,8,4.6,I,10
S.dealer,X10M,9,4.633333,I,13
I.dealer,X10M,3,2.412667,I,3.5
I.agency,X10M,4,2.456667,I,3.51
G.dealer,X45M,10,5.333333,I,12
G.agency,X8M,12,8.071429,I,7
M.dealer,X4M,6,2.866667,I,5
M.agency,X10M,5,2.666667,I,6
B.dealer,X10M,13,9.851333,I,11.02
R.dealer,X10M,1,2.049778,I,1.683333
R.agency,X4M,7,3.725333,I,2.69
B.agency,X8M,2,2.401333,I,2.72
S.agency,X4M,11,6.993333,I,9.36
C.dealer,X10M,8,4.6,J,2
S.dealer,X10M,9,4.633333,J,3
I.dealer,X10M,3,2.412667,J,1.6
I.agency,X10M,4,2.456667,J,1.63
G.dealer,X45M,10,5.333333,J,3
G.agency,X8M,12,8.071429,J,18
M.dealer,X4M,6,2.866667,J,3
M.agency,X10M,5,2.666667,J,3
B.dealer,X10M,13,9.851333,J,5.84
R.dealer,X10M,1,2.049778,J,1.8
R.agency,X4M,7,3.725333,J,2.35
B.agency,X8M,2,2.401333,J,3.24
S.agency,X4M,11,6.993333,J,2.73
C.dealer,X10M,8,4.6,K,2
S.dealer,X10M,9,4.633333,K,2
I.dealer,X10M,3,2.412667,K,1
I.agency,X10M,4,2.456667,K,0.85
G.dealer,X45M,10,5.333333,K,3
G.agency,X8M,12,8.071429,K,5
M.dealer,X4M,6,2.866667,K,1
M.agency,X10M,5,2.666667,K,1
B.dealer,X10M,13,9.851333,K,5.18
R.dealer,X10M,1,2.049778,K,0.33
R.agency,X4M,7,3.725333,K,1.35
B.agency,X8M,2,2.401333,K,1.58
S.agency,X4M,11,6.993333,K,0.98
C.dealer,X10M,8,4.6,L,2
S.dealer,X10M,9,4.633333,L,2
I.dealer,X10M,3,2.412667,L,1
I.agency,X10M,4,2.456667,L,0.5
G.dealer,X45M,10,5.333333,L,3
G.agency,X8M,12,8.071429,L,10
M.dealer,X4M,6,2.866667,L,1
M.agency,X10M,5,2.666667,L,1
B.dealer,X10M,13,9.851333,L,3.25
R.dealer,X10M,1,2.049778,L,0.713333
R.agency,X4M,7,3.725333,L,1.21
B.agency,X8M,2,2.401333,L,1.67
S.agency,X4M,11,6.993333,L,2.17
C.dealer,X10M,8,4.6,M,2
S.dealer,X10M,9,4.633333,M,2
I.dealer,X10M,3,2.412667,M,1.57
I.agency,X10M,4,2.456667,M,1.57
G.dealer,X45M,10,5.333333,M,3
G.agency,X8M,12,8.071429,M,5
M.dealer,X4M,6,2.866667,M,3
M.agency,X10M,5,2.666667,M,2
B.dealer,X10M,13,9.851333,M,10.11
R.dealer,X10M,1,2.049778,M,1.74
R.agency,X4M,7,3.725333,M,2.13
B.agency,X8M,2,2.401333,M,2.47
S.agency,X4M,11,6.993333,M,3.65
C.dealer,X10M,8,4.6,N,4
S.dealer,X10M,9,4.633333,N,2
I.dealer,X10M,3,2.412667,N,2.96
I.agency,X10M,4,2.456667,N,2.96
G.dealer,X45M,10,5.333333,N,3
G.agency,X8M,12,8.071429,N,5
M.dealer,X4M,6,2.866667,N,3
M.agency,X10M,5,2.666667,N,2
B.dealer,X10M,13,9.851333,N,8.29
R.dealer,X10M,1,2.049778,N,2.316667
R.agency,X4M,7,3.725333,N,3.13
B.agency,X8M,2,2.401333,N,3.48
S.agency,X4M,11,6.993333,N,2.05
C.dealer,X10M,8,4.6,O,1
S.dealer,X10M,9,4.633333,O,2
I.dealer,X10M,3,2.412667,O,1.86
I.agency,X10M,4,2.456667,O,1.92
G.dealer,X45M,10,5.333333,O,3
G.agency,X8M,12,8.071429,O,15
M.dealer,X4M,6,2.866667,O,2
M.agency,X10M,5,2.666667,O,2
B.dealer,X10M,13,9.851333,O,2.34
R.dealer,X10M,1,2.049778,O,1.663333
R.agency,X4M,7,3.725333,O,1.95
B.agency,X8M,2,2.401333,O,1.78
S.agency,X4M,11,6.993333,O,1.13
S.dealer,X10M,9,4.633333,A_1,9
I.dealer,X10M,3,2.412667,A_1,10
I.agency,X10M,4,2.456667,A_1,8.35
G.dealer,X45M,10,5.333333,A_1,10
G.agency,X8M,12,8.071429,A_1,19
M.dealer,X4M,6,2.866667,A_1,7
M.agency,X10M,5,2.666667,A_1,6
B.dealer,X10M,13,9.851333,A_1,33
R.dealer,X10M,1,2.049778,A_1,5.45
B.agency,X8M,2,2.401333,A_1,1.67
S.agency,X4M,11,6.993333,A_1,31.51
S.dealer,X10M,9,4.633333,A_2,3
I.dealer,X10M,3,2.412667,A_2,3
I.agency,X10M,4,2.456667,A_2,2.86
M.dealer,X4M,6,2.866667,A_2,3
M.agency,X10M,5,2.666667,A_2,3
B.dealer,X10M,13,9.851333,A_2,2.75
R.dealer,X10M,1,2.049778,A_2,1.73
B.agency,X8M,2,2.401333,A_2,3.15
S.agency,X4M,11,6.993333,A_2,2.65
S.dealer,X10M,9,4.633333,A_3,2
I.dealer,X10M,3,2.412667,A_3,2.42
I.agency,X10M,4,2.456667,A_3,2.32
G.dealer,X45M,10,5.333333,A_3,3
G.agency,X8M,12,8.071429,A_3,4
M.dealer,X4M,6,2.866667,A_3,3
M.agency,X10M,5,2.666667,A_3,2
R.dealer,X10M,1,2.049778,A_3,3.34
S.agency,X4M,11,6.993333,A_3,5.81
S.dealer,X10M,9,4.633333,A_4,2
I.dealer,X10M,3,2.412667,A_4,3.6
I.agency,X10M,4,2.456667,A_4,3.43
G.dealer,X45M,10,5.333333,A_4,3
G.agency,X8M,12,8.071429,A_4,4
M.dealer,X4M,6,2.866667,A_4,4
M.agency,X10M,5,2.666667,A_4,3
B.dealer,X10M,13,9.851333,A_4,2.7
R.dealer,X10M,1,2.049778,A_4,4.45
S.agency,X4M,11,6.993333,A_4,7.64
S.dealer,X10M,9,4.633333,A_5,2
I.dealer,X10M,3,2.412667,A_5,2.52
I.agency,X10M,4,2.456667,A_5,2.15
G.dealer,X45M,10,5.333333,A_5,3
G.agency,X8M,12,8.071429,A_5,4
M.dealer,X4M,6,2.866667,A_5,3
M.agency,X10M,5,2.666667,A_5,2
R.dealer,X10M,1,2.049778,A_5,2.54
S.agency,X4M,11,6.993333,A_5,4.61
S.dealer,X10M,9,4.633333,A_6,4
I.dealer,X10M,3,2.412667,A_6,4.3
I.agency,X10M,4,2.456667,A_6,4.28
G.dealer,X45M,10,5.333333,A_6,3
G.agency,X8M,12,8.071429,A_6,4
M.dealer,X4M,6,2.866667,A_6,4
M.agency,X10M,5,2.666667,A_6,4
R.dealer,X10M,1,2.049778,A_6,3.24
S.agency,X4M,11,6.993333,A_6,6.81
S.dealer,X10M,9,4.633333,A_7,30
I.dealer,X10M,3,2.412667,A_7,16
I.agency,X10M,4,2.456667,A_7,15.17
G.dealer,X45M,10,5.333333,A_7,8
G.agency,X8M,12,8.071429,A_7,8
M.dealer,X4M,6,2.866667,A_7,5
M.agency,X10M,5,2.666667,A_7,4
B.dealer,X10M,13,9.851333,A_7,0.5
R.dealer,X10M,1,2.049778,A_7,2.21
B.agency,X8M,2,2.401333,A_7,1.67
S.agency,X4M,11,6.993333,A_7,12.54
C.dealer,X10M,8,4.6,B_1,2
S.dealer,X10M,9,4.633333,B_1,9
I.dealer,X10M,3,2.412667,B_1,6.7
I.agency,X10M,4,2.456667,B_1,7.28
G.agency,X8M,12,8.071429,B_1,8
M.dealer,X4M,6,2.866667,B_1,5
M.agency,X10M,5,2.666667,B_1,6
B.dealer,X10M,13,9.851333,B_1,1.3
R.agency,X4M,7,3.725333,B_1,3.5
B.agency,X8M,2,2.401333,B_1,1.67
S.agency,X4M,11,6.993333,B_1,8.23
C.dealer,X10M,8,4.6,B_2,25
S.dealer,X10M,9,4.633333,B_2,30
I.dealer,X10M,3,2.412667,B_2,14.8
I.agency,X10M,4,2.456667,B_2,15.28
G.agency,X8M,12,8.071429,B_2,8
M.dealer,X4M,6,2.866667,B_2,27
M.agency,X10M,5,2.666667,B_2,28
B.dealer,X10M,13,9.851333,B_2,0.3
R.agency,X4M,7,3.725333,B_2,25
B.agency,X8M,2,2.401333,B_2,1.21
S.agency,X4M,11,6.993333,B_2,32.22
C.dealer,X10M,8,4.6,B_3,1.56
S.dealer,X10M,9,4.633333,B_3,2
I.dealer,X10M,3,2.412667,B_3,2.74
I.agency,X10M,4,2.456667,B_3,2.74
G.agency,X8M,12,8.071429,B_3,3
M.dealer,X4M,6,2.866667,B_3,2
M.agency,X10M,5,2.666667,B_3,2
B.dealer,X10M,13,9.851333,B_3,0.3
R.agency,X4M,7,3.725333,B_3,10
B.agency,X8M,2,2.401333,B_3,2
S.agency,X4M,11,6.993333,B_3,3.5
C.dealer,X10M,8,4.6,B_4,1.53
S.dealer,X10M,9,4.633333,B_4,2
I.dealer,X10M,3,2.412667,B_4,2.47
I.agency,X10M,4,2.456667,B_4,2.52
G.agency,X8M,12,8.071429,B_4,6
M.dealer,X4M,6,2.866667,B_4,4
M.agency,X10M,5,2.666667,B_4,6
B.dealer,X10M,13,9.851333,B_4,3.2
R.agency,X4M,7,3.725333,B_4,20
B.agency,X8M,2,2.401333,B_4,1.8
S.agency,X4M,11,6.993333,B_4,3.4
C.dealer,X10M,8,4.6,B_5,31
S.dealer,X10M,9,4.633333,B_5,4
I.dealer,X10M,3,2.412667,B_5,3.92
I.agency,X10M,4,2.456667,B_5,3.84
G.agency,X8M,12,8.071429,B_5,5
M.dealer,X4M,6,2.866667,B_5,7
M.agency,X10M,5,2.666667,B_5,8
B.dealer,X10M,13,9.851333,B_5,8.79
R.agency,X4M,7,3.725333,B_5,20
B.agency,X8M,2,2.401333,B_5,4.61
S.agency,X4M,11,6.993333,B_5,3.5
C.dealer,X10M,8,4.6,B_6,4
S.dealer,X10M,9,4.633333,B_6,4
I.dealer,X10M,3,2.412667,B_6,4.25
I.agency,X10M,4,2.456667,B_6,4.25
G.agency,X8M,12,8.071429,B_6,6
M.dealer,X4M,6,2.866667,B_6,9
M.agency,X10M,5,2.666667,B_6,5
B.dealer,X10M,13,9.851333,B_6,6.49
R.agency,X4M,7,3.725333,B_6,16
B.agency,X8M,2,2.401333,B_6,2.25
S.agency,X4M,11,6.993333,B_6,3.96
I.dealer,X10M,3,2.412667,B_7,2.98
I.agency,X10M,4,2.456667,B_7,3.87
G.agency,X8M,12,8.071429,B_7,7
M.dealer,X4M,6,2.866667,B_7,7
M.agency,X10M,5,2.666667,B_7,7
B.dealer,X10M,13,9.851333,B_7,1
R.agency,X4M,7,3.725333,B_7,5
B.agency,X8M,2,2.401333,B_7,1.8
S.agency,X4M,11,6.993333,B_7,3.61
